Year,Tunnel Location,Accident type,Casualties,Comments,Web news page,Web news page in other,Related research paper
2010,Huishan Tunnel_China,Man-made arson,43,Damage on mechanical and electrical facilities,http://news.sina.com.cn/c/2010-07-06/021920616604.shtml,https://www.hotbak.net/key/%E6%97%A0%E9%94%A1%E6%83%A0%E5%B1%B1%E9%9A%A7%E9%81%93%E4%B8%80%E5%A4%A7%E5%AE%A2%E8%BD%A6%E8%B5%B7%E7%81%AB%E8%87%B4%E9%87%8D%E5%A4%A7%E4%BA%BA%E5%91%98%E4%BC%A4%E4%BA%A1%E9%86%89.html,https://doi.org/10.1016/j.tust.2018.10.008
2011,Xinqidaoliang_China,Shunt,5,Widespread damage on tunnel region,http://news.sohu.com/20110408/n280186970.shtml,-,https://doi.org/10.1016/j.tust.2018.10.008
2012,Xueshan Tunnel_China,Collision and fire,24,-,http://media.chinasafety.gov.cn:8090/iSystem/shigumain.jsp,-,https://doi.org/10.1016/j.tust.2018.10.008
2013,Liushiliang Tunnel_China,Multi-car collision,18,Damage on tunnel facilities,http://media.chinasafety.gov.cn:8090/iSystem/shigumain.jsp,-,https://doi.org/10.1016/j.tust.2018.10.008
2014,Yanhou_China,Collision,31,Serious damage on tunnel lining,http://www.gov.cn/xinwen/2014-06/10/content_2698194.htm,-,https://doi.org/10.1016/j.tust.2018.10.008
2015,Fenghuangshan tunnel_China,Collision and fire,-,-,http://media.chinasafety.gov.cn:8090/iSystem/shigumain.jsp,-,https://doi.org/10.1016/j.tust.2018.10.008
2016,Mangshan tunnel_China,Collision and fire,1,-,http://media.chinasafety.gov.cn:8090/iSystem/shigumain.jsp,-,https://doi.org/10.1016/j.tust.2018.10.008
2017,Taojiakuang tunnel_China,Arson,11,-,https://www.bbc.com/news/world-asia-china-39862265,https://en.yna.co.kr/view/AEN20170602007451315,https://doi.org/10.1016/j.scs.2018.09.026
2018,San Bernardino_Switzerland,Bus crash,-,Caused longest traffic jam in 19 years,https://www.dw.com/en/san-bernardino-bus-crash-causes-switzerlands-longest-traffic-jam-in-19-years/a-43857500,-,-
2018,Detroit-Windsor tunnel,Collision,1,Tunnel temporarily closed,https://www.cbc.ca/news/canada/windsor/multiple-people-sent-to-hospital-accident-tunnel-1.4961987,-,-
2019,Maoliling Tunnel_China,Spontaneous combustion of tire,36,-,https://www.scmp.com/news/china/society/article/3024715/four-year-old-boy-among-five-dead-after-tunnel-truck-fire,https://www.chinadaily.com.cn/a/201908/28/WS5d65e8e4a310cf3e355684be.html,-
2019,Rannersdorf tunnel_Austria,Trailer-tractor ,-,Wiring and concrete ruptured in the ceiling,https://tunprotec.com/storage/documents/rannersdorf-tunnel-hgv-fire-may-pdf.pdf,-,-
2020,Central Park North?C110th Street station_USA,Possible arson,17,Severely damaged the north part of the station and the train cars,https://en.wikipedia.org/wiki/2020_New_York_City_Subway_fire,https://www.nytimes.com/2020/03/27/nyregion/nyc-subway-fire-death.html,-
2020,Samae 2 Tunnel_Korea,Collision and fire,47,Tank truck carrying nitric acid ran into some cars involved in an earlier accident,https://abcnews.go.com/International/wireStory/killed-dozens-injured-highway-pileup-south-korea-69027086,https://en.yna.co.kr/view/AEN20200217009953315,-
2020,Sydney Harbour Tunnel_Austrlia,-,-,Hundreds of people were stuck inside the tunnel,https://www.smh.com.au/national/nsw/sydney-harbour-tunnel-closed-after-car-fire-20200825-p55p15.html,-,-
