Tunnel length [m],Tunnel width [m],Tunnel height [m],Hydrauric diameter,T [K],Qdot [Kw],Critical velocity [m/s];;;;;;;;;;;
8,0.34,0.44,0.383589743589744,293,1.5,0.386917921550455;;;;;;;;;;;
8,0.34,0.44,0.383589743589744,293,1.55,0.391170107319976;;;;;;;;;;;
8,0.34,0.44,0.383589743589744,293,1.6,0.395331803794963;;;;;;;;;;;
8,0.34,0.44,0.383589743589744,293,1.65,0.399407676730241;;;;;;;;;;;
8,0.34,0.44,0.383589743589744,293,1.7,0.403402018477475;;;;;;;;;;;
8,0.34,0.44,0.383589743589744,293,1.75,0.407318787881746;;;;;;;;;;;
8,0.34,0.44,0.383589743589744,293,1.8,0.411161644905916;;;;;;;;;;;
8,0.34,0.44,0.383589743589744,293,1.85,0.414933980805557;;;;;;;;;;;
8,0.34,0.44,0.383589743589744,293,1.9,0.418638944530183;;;;;;;;;;;
8,0.34,0.44,0.383589743589744,293,1.95,0.422279465908962;;;;;;;;;;;
8,0.34,0.44,0.383589743589744,293,2,0.425858276084373;;;;;;;;;;;
8,0.34,0.44,0.383589743589744,293,2.05,0.429377925580682;;;;;;;;;;;
8,0.34,0.44,0.383589743589744,293,2.1,0.432840800331611;;;;;;;;;;;
8,0.34,0.44,0.383589743589744,293,2.15,0.436249135940539;;;;;;;;;;;
8,0.34,0.44,0.383589743589744,293,2.2,0.439605030404427;;;;;;;;;;;
8,0.34,0.44,0.383589743589744,293,2.25,0.442910455497939;;;;;;;;;;;
8,0.34,0.44,0.383589743589744,293,2.3,0.446167266985285;;;;;;;;;;;
8,0.34,0.44,0.383589743589744,293,2.35,0.449377213803219;;;;;;;;;;;
8,0.34,0.44,0.383589743589744,293,2.4,0.452541946338394;;;;;;;;;;;
8,0.34,0.44,0.383589743589744,293,2.45,0.455663023905307;;;;;;;;;;;
8,0.34,0.44,0.383589743589744,293,2.5,0.458741921516675;;;;;;;;;;;
8,0.34,0.44,0.383589743589744,293,2.55,0.461780036025928;;;;;;;;;;;
8,0.34,0.44,0.383589743589744,293,2.6,0.464778691711157;;;;;;;;;;;
8,0.34,0.44,0.383589743589744,293,2.65,0.467739145361008;;;;;;;;;;;
8,0.34,0.44,0.383589743589744,293,2.7,0.470662590915458;;;;;;;;;;;
8,0.34,0.44,0.383589743589744,293,2.75,0.473550163707909;;;;;;;;;;;
8,0.34,0.44,0.383589743589744,293,2.8,0.476402944349435;;;;;;;;;;;
8,0.34,0.44,0.383589743589744,293,2.85,0.479221962291195;;;;;;;;;;;
8,0.34,0.44,0.383589743589744,293,2.9,0.482008199096819;;;;;;;;;;;
8,0.34,0.44,0.383589743589744,293,2.95,0.484762591452955;;;;;;;;;;;
8,0.34,0.44,0.383589743589744,293,3,0.487486033942991;;;;;;;;;;;
8,0.34,0.44,0.383589743589744,293,3.05,0.49017938160619;;;;;;;;;;;
8,0.34,0.44,0.383589743589744,293,3.1,0.492843452302075;;;;;;;;;;;
8,0.34,0.44,0.383589743589744,293,3.15,0.495479028897778;;;;;;;;;;;
8,0.34,0.44,0.383589743589744,293,3.2,0.498086861294184;;;;;;;;;;;
8,0.34,0.44,0.383589743589744,293,3.25,0.500667668305075;;;;;;;;;;;
8,0.34,0.44,0.383589743589744,293,3.3,0.503222139402038;;;;;;;;;;;
8,0.34,0.44,0.383589743589744,293,3.35,0.505750936336586;;;;;;;;;;;
8,0.34,0.44,0.383589743589744,293,3.4,0.508254694649851;;;;;;;;;;;
8,0.34,0.44,0.383589743589744,293,3.45,0.510734025079151;;;;;;;;;;;
8,0.34,0.44,0.383589743589744,293,3.5,0.513189514869876;;;;;;;;;;;
8,0.34,0.44,0.383589743589744,293,3.55,0.515621729000319;;;;;;;;;;;
8,0.34,0.44,0.383589743589744,293,3.6,0.518031211326365;;;;;;;;;;;
8,0.34,0.44,0.383589743589744,293,3.65,0.520418485652321;;;;;;;;;;;
8,0.34,0.44,0.383589743589744,293,3.7,0.522784056733596;;;;;;;;;;;
8,0.34,0.44,0.383589743589744,293,3.75,0.52512841121642;;;;;;;;;;;
8,0.34,0.44,0.383589743589744,293,3.8,0.52745201851935;;;;;;;;;;;
8,0.34,0.44,0.383589743589744,293,3.85,0.529755331660873;;;;;;;;;;;
8,0.34,0.44,0.383589743589744,293,3.9,0.532038788037065;;;;;;;;;;;
8,0.34,0.44,0.383589743589744,293,3.95,0.53430281015292;;;;;;;;;;;
8,0.34,0.44,0.383589743589744,293,4,0.536547806310645;;;;;;;;;;;
8,0.34,0.44,0.383589743589744,293,4.05,0.538774171257977;;;;;;;;;;;
8,0.34,0.44,0.383589743589744,293,4.1,0.540982286799295;;;;;;;;;;;
8,0.34,0.44,0.383589743589744,293,4.15,0.543172522372089;;;;;;;;;;;
8,0.34,0.44,0.383589743589744,293,4.2,0.545345235591141;;;;;;;;;;;
8,0.34,0.44,0.383589743589744,293,4.25,0.547500772762601;;;;;;;;;;;
8,0.34,0.44,0.383589743589744,293,4.3,0.549639469369935;;;;;;;;;;;
8,0.34,0.44,0.383589743589744,293,4.35,0.55176165053361;;;;;;;;;;;
8,0.34,0.44,0.383589743589744,293,4.39999999999999,0.553867631446212;;;;;;;;;;;
8,0.34,0.44,0.383589743589744,293,4.44999999999999,0.555957717784576;;;;;;;;;;;
8,0.34,0.44,0.383589743589744,293,4.49999999999999,0.558032206100379;;;;;;;;;;;
8,0.34,0.44,0.383589743589744,293,4.54999999999999,0.560091384190564;;;;;;;;;;;
8,0.34,0.44,0.383589743589744,293,4.59999999999999,0.562135531448826;;;;;;;;;;;
8,0.34,0.44,0.383589743589744,293,4.64999999999999,0.564164919199338;;;;;;;;;;;
8,0.34,0.44,0.383589743589744,293,4.69999999999999,0.566179811013784;;;;;;;;;;;
8,0.34,0.44,0.383589743589744,293,4.74999999999999,0.568180463012713;;;;;;;;;;;
8,0.34,0.44,0.383589743589744,293,4.79999999999999,0.570167124152138;;;;;;;;;;;
8,0.34,0.44,0.383589743589744,293,4.84999999999999,0.572140036496248;;;;;;;;;;;
8,0.34,0.44,0.383589743589744,293,4.89999999999999,0.574099435477047;;;;;;;;;;;
8,0.34,0.44,0.383589743589744,293,4.94999999999999,0.57604555014167;;;;;;;;;;;
8,0.34,0.44,0.383589743589744,293,4.99999999999999,0.57797860338808;;;;;;;;;;;
8,0.34,0.44,0.383589743589744,293,5.04999999999999,0.579898812189796;;;;;;;;;;;
8,0.34,0.44,0.383589743589744,293,5.09999999999999,0.581806387810279;;;;;;;;;;;
8,0.34,0.44,0.383589743589744,293,5.14999999999999,0.583701536007536;;;;;;;;;;;
8,0.34,0.44,0.383589743589744,293,5.19999999999999,0.585584457229486;;;;;;;;;;;
8,0.34,0.44,0.383589743589744,293,5.24999999999999,0.587455346800582;;;;;;;;;;;
8,0.34,0.44,0.383589743589744,293,5.29999999999999,0.589314395100171;;;;;;;;;;;
8,0.34,0.44,0.383589743589744,293,5.34999999999999,0.591161787733024;;;;;;;;;;;
8,0.34,0.44,0.383589743589744,293,5.39999999999999,0.592997705692444;;;;;;;;;;;
8,0.34,0.44,0.383589743589744,293,5.44999999999999,0.594822325516363;;;;;;;;;;;
8,0.34,0.44,0.383589743589744,293,5.49999999999999,0.596635819436757;;;;;;;;;;;
8,0.34,0.44,0.383589743589744,293,5.54999999999999,0.598438355522756;;;;;;;;;;;
8,0.34,0.44,0.383589743589744,293,5.59999999999999,0.600230097817749;;;;;;;;;;;
8,0.34,0.44,0.383589743589744,293,5.64999999999999,0.602011206470791;;;;;;;;;;;
8,0.34,0.44,0.383589743589744,293,5.69999999999999,0.603781837862604;;;;;;;;;;;
8,0.34,0.44,0.383589743589744,293,5.74999999999999,0.60554214472643;;;;;;;;;;;
8,0.34,0.44,0.383589743589744,293,5.79999999999999,0.607292276264;;;;;;;;;;;
8,0.34,0.44,0.383589743589744,293,5.84999999999999,0.609032378256842;;;;;;;;;;;
8,0.34,0.44,0.383589743589744,293,5.89999999999999,0.610762593173166;;;;;;;;;;;
8,0.34,0.44,0.383589743589744,293,5.94999999999999,0.612483060270541;;;;;;;;;;;
8,0.34,0.44,0.383589743589744,293,5.99999999999999,0.614193915694541;;;;;;;;;;;
8,0.34,0.44,0.383589743589744,293,6.04999999999999,0.61589529257358;;;;;;;;;;;
8,0.34,0.44,0.383589743589744,293,6.09999999999999,0.61758732111009;;;;;;;;;;;
8,0.34,0.44,0.383589743589744,293,6.14999999999998,0.619270128668224;;;;;;;;;;;
8,0.34,0.44,0.383589743589744,293,6.19999999999998,0.620943839858243;;;;;;;;;;;
8,0.34,0.44,0.383589743589744,293,6.24999999999998,0.622608576617729;;;;;;;;;;;
8,0.34,0.44,0.383589743589744,293,6.29999999999998,0.62426445828978;;;;;;;;;;;
8,0.34,0.44,0.383589743589744,293,6.34999999999998,0.625911601698314;;;;;;;;;;;
8,0.34,0.44,0.383589743589744,293,6.39999999999998,0.62755012122061;;;;;;;;;;;
8,0.34,0.44,0.383589743589744,293,6.44999999999998,0.62918012885722;;;;;;;;;;;
8,0.34,0.44,0.383589743589744,293,6.49999999999998,0.630801734299348;;;;;;;;;;;
8,0.34,0.44,0.383589743589744,293,6.54999999999998,0.632415044993823;;;;;;;;;;;
8,0.34,0.44,0.383589743589744,293,6.59999999999998,0.634020166205759;;;;;;;;;;;
8,0.34,0.44,0.383589743589744,293,6.64999999999998,0.63561720107901;;;;;;;;;;;
8,0.34,0.44,0.383589743589744,293,6.69999999999998,0.637206250694506;;;;;;;;;;;
8,0.34,0.44,0.383589743589744,293,6.74999999999998,0.63878741412656;;;;;;;;;;;
8,0.34,0.44,0.383589743589744,293,6.79999999999998,0.640360788497238;;;;;;;;;;;
8,0.34,0.44,0.383589743589744,293,6.84999999999998,0.641926469028868;;;;;;;;;;;
8,0.34,0.44,0.383589743589744,293,6.89999999999998,0.643484549094758;;;;;;;;;;;
8,0.34,0.44,0.383589743589744,293,6.94999999999998,0.645035120268211;;;;;;;;;;;
8,0.34,0.44,0.383589743589744,293,6.99999999999998,0.646578272369894;;;;;;;;;;;
8,0.34,0.44,0.383589743589744,293,7.04999999999998,0.648114093513632;;;;;;;;;;;
8,0.34,0.44,0.383589743589744,293,7.09999999999998,0.649642670150691;;;;;;;;;;;
8,0.34,0.44,0.383589743589744,293,7.14999999999998,0.651164087112608;;;;;;;;;;;
8,0.34,0.44,0.383589743589744,293,7.19999999999998,0.652678427652626;;;;;;;;;;;
8,0.34,0.44,0.383589743589744,293,7.24999999999998,0.654185773485794;;;;;;;;;;;
8,0.34,0.44,0.383589743589744,293,7.29999999999998,0.655686204827772;;;;;;;;;;;
8,0.34,0.44,0.383589743589744,293,7.34999999999998,0.657179800432403;;;;;;;;;;;
8,0.34,0.44,0.383589743589744,293,7.39999999999998,0.658666637628093;;;;;;;;;;;
8,0.34,0.44,0.383589743589744,293,7.44999999999998,0.660146792353051;;;;;;;;;;;
