Tunnel length [m],Tunnel width [m],Tunnel height [m],Hydrauric diameter,T [K],Qdot [Kw],Critical velocity [m/s]
15,0.48,0.54,0.508235294,293,7.2,0.601582897
15,0.48,0.54,0.508235294,293,7.25,0.602972239
15,0.48,0.54,0.508235294,293,7.3,0.604355207
15,0.48,0.54,0.508235294,293,7.35,0.605731875
15,0.48,0.54,0.508235294,293,7.4,0.607102314
15,0.48,0.54,0.508235294,293,7.45,0.608466594
15,0.48,0.54,0.508235294,293,7.5,0.609824783
15,0.48,0.54,0.508235294,293,7.55,0.611176948
15,0.48,0.54,0.508235294,293,7.6,0.612523157
15,0.48,0.54,0.508235294,293,7.65,0.613863475
15,0.48,0.54,0.508235294,293,7.7,0.615197965
15,0.48,0.54,0.508235294,293,7.75,0.61652669
15,0.48,0.54,0.508235294,293,7.8,0.617849713
15,0.48,0.54,0.508235294,293,7.85,0.619167094
15,0.48,0.54,0.508235294,293,7.9,0.620478892
15,0.48,0.54,0.508235294,293,7.95,0.621785168
15,0.48,0.54,0.508235294,293,8,0.623085977
15,0.48,0.54,0.508235294,293,8.05,0.624381378
15,0.48,0.54,0.508235294,293,8.1,0.625671426
15,0.48,0.54,0.508235294,293,8.15,0.626956176
15,0.48,0.54,0.508235294,293,8.2,0.628235682
15,0.48,0.54,0.508235294,293,8.25,0.629509997
15,0.48,0.54,0.508235294,293,8.3,0.630779174
15,0.48,0.54,0.508235294,293,8.35,0.632043264
15,0.48,0.54,0.508235294,293,8.4,0.633302317
15,0.48,0.54,0.508235294,293,8.45,0.634556385
15,0.48,0.54,0.508235294,293,8.5,0.635805515
15,0.48,0.54,0.508235294,293,8.55,0.637049755
15,0.48,0.54,0.508235294,293,8.6,0.638289155
15,0.48,0.54,0.508235294,293,8.65,0.63952376
15,0.48,0.54,0.508235294,293,8.7,0.640753616
15,0.48,0.54,0.508235294,293,8.75,0.64197877
15,0.48,0.54,0.508235294,293,8.8,0.643199265
15,0.48,0.54,0.508235294,293,8.85,0.644415145
15,0.48,0.54,0.508235294,293,8.9,0.645626455
15,0.48,0.54,0.508235294,293,8.95,0.646833236
15,0.48,0.54,0.508235294,293,9,0.648035531
15,0.48,0.54,0.508235294,293,9.05,0.649233381
15,0.48,0.54,0.508235294,293,9.1,0.650426828
15,0.48,0.54,0.508235294,293,9.15,0.65161591
15,0.48,0.54,0.508235294,293,9.2,0.652800669
15,0.48,0.54,0.508235294,293,9.25,0.653981143
15,0.48,0.54,0.508235294,293,9.3,0.655157371
15,0.48,0.54,0.508235294,293,9.35,0.65632939
15,0.48,0.54,0.508235294,293,9.4,0.657497238
15,0.48,0.54,0.508235294,293,9.45,0.658660953
15,0.48,0.54,0.508235294,293,9.5,0.659820569
15,0.48,0.54,0.508235294,293,9.55,0.660976124
15,0.48,0.54,0.508235294,293,9.6,0.662127653
15,0.48,0.54,0.508235294,293,9.65,0.66327519
15,0.48,0.54,0.508235294,293,9.7,0.66441877
15,0.48,0.54,0.508235294,293,9.75,0.665558428
15,0.48,0.54,0.508235294,293,9.8,0.666694195
15,0.48,0.54,0.508235294,293,9.85,0.667826106
15,0.48,0.54,0.508235294,293,9.9,0.668954193
15,0.48,0.54,0.508235294,293,9.95,0.670078487
15,0.48,0.54,0.508235294,293,10,0.671199022
15,0.48,0.54,0.508235294,293,10.05,0.672315828
15,0.48,0.54,0.508235294,293,10.1,0.673428936
15,0.48,0.54,0.508235294,293,10.15,0.674538376
15,0.48,0.54,0.508235294,293,10.2,0.675644178
15,0.48,0.54,0.508235294,293,10.25,0.676746373
15,0.48,0.54,0.508235294,293,10.3,0.677844989
15,0.48,0.54,0.508235294,293,10.35,0.678940056
15,0.48,0.54,0.508235294,293,10.4,0.680031601
15,0.48,0.54,0.508235294,293,10.45,0.681119654
15,0.48,0.54,0.508235294,293,10.5,0.682204241
15,0.48,0.54,0.508235294,293,10.55,0.68328539
15,0.48,0.54,0.508235294,293,10.6,0.684363129
15,0.48,0.54,0.508235294,293,10.65,0.685437485
15,0.48,0.54,0.508235294,293,10.7,0.686508482
15,0.48,0.54,0.508235294,293,10.75,0.687576149
15,0.48,0.54,0.508235294,293,10.8,0.68864051
15,0.48,0.54,0.508235294,293,10.85,0.689701591
15,0.48,0.54,0.508235294,293,10.9,0.690759417
15,0.48,0.54,0.508235294,293,10.95,0.691814013
15,0.48,0.54,0.508235294,293,11,0.692865404
15,0.48,0.54,0.508235294,293,11.05,0.693913614
15,0.48,0.54,0.508235294,293,11.1,0.694958666
15,0.48,0.54,0.508235294,293,11.15,0.696000584
15,0.48,0.54,0.508235294,293,11.2,0.697039393
15,0.48,0.54,0.508235294,293,11.25,0.698075114
15,0.48,0.54,0.508235294,293,11.3,0.699107771
15,0.48,0.54,0.508235294,293,11.35,0.700137386
15,0.48,0.54,0.508235294,293,11.4,0.701163982
15,0.48,0.54,0.508235294,293,11.45,0.702187581
15,0.48,0.54,0.508235294,293,11.5,0.703208204
15,0.48,0.54,0.508235294,293,11.55,0.704225872
15,0.48,0.54,0.508235294,293,11.6,0.705240609
15,0.48,0.54,0.508235294,293,11.65,0.706252433
15,0.48,0.54,0.508235294,293,11.7,0.707261366
15,0.48,0.54,0.508235294,293,11.75,0.708267429
15,0.48,0.54,0.508235294,293,11.8,0.709270642
15,0.48,0.54,0.508235294,293,11.85,0.710271025
15,0.48,0.54,0.508235294,293,11.9,0.711268598
15,0.48,0.54,0.508235294,293,11.95,0.712263381
15,0.48,0.54,0.508235294,293,12,0.713255393
15,0.48,0.54,0.508235294,293,12.05,0.714244652
15,0.48,0.54,0.508235294,293,12.1,0.715231179
15,0.48,0.54,0.508235294,293,12.15,0.716214992
15,0.48,0.54,0.508235294,293,12.2,0.71719611
15,0.48,0.54,0.508235294,293,12.25,0.718174551
15,0.48,0.54,0.508235294,293,12.3,0.719150333
15,0.48,0.54,0.508235294,293,12.35,0.720123474
15,0.48,0.54,0.508235294,293,12.38,0.720706098
